#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 991000      1.76e-01    1.19e-01      9.41e-04    2.65e-04      6.52e-02    4.42e-02    6.2e-06
 992000      1.88e-01    1.17e-01      2.33e-03    1.04e-03      6.76e-02    4.38e-02    6.2e-06
 993000      1.78e-01    1.54e-01      2.98e-03    1.10e-03      6.26e-02    5.77e-02    6.1e-06
 994000      1.79e-01    1.93e-01      1.03e-03    1.56e-03      6.67e-02    7.12e-02    6.1e-06
 995000      1.71e-01    1.83e-01      1.66e-03    8.90e-04      6.36e-02    6.85e-02    6.1e-06
 996000      1.81e-01    1.80e-01      9.73e-04    6.45e-05      6.74e-02    6.79e-02    6.0e-06
 997000      1.82e-01    1.06e-01      2.13e-03    2.97e-03      6.62e-02    4.00e-02    6.0e-06
 998000      1.69e-01    1.34e-01      2.23e-03    9.17e-04      6.14e-02    5.07e-02    6.0e-06
 999000      1.93e-01    1.25e-01      3.17e-03    2.43e-03      6.68e-02    4.65e-02    6.0e-06
1000000      1.75e-01    1.75e-01      9.96e-04    3.06e-04      6.59e-02    6.65e-02    5.9e-06
1001000      1.71e-01    1.85e-01      1.02e-03    1.74e-03      6.49e-02    6.89e-02    5.9e-06
1002000      1.84e-01    1.83e-01      1.29e-03    1.00e-04      6.93e-02    7.00e-02    5.9e-06
1003000      1.73e-01    1.33e-01      1.13e-03    1.95e-03      6.51e-02    5.05e-02    5.8e-06
1004000      1.77e-01    1.53e-01      1.07e-03    6.16e-04      6.72e-02    5.86e-02    5.8e-06
1005000      1.81e-01    1.61e-01      9.56e-04    1.27e-03      6.87e-02    6.10e-02    5.8e-06
1006000      1.77e-01    9.31e-02      7.99e-04    7.72e-04      6.79e-02    3.58e-02    5.7e-06
1007000      1.85e-01    9.83e-02      3.98e-03    5.09e-03      6.46e-02    3.71e-02    5.7e-06
1008000      1.79e-01    1.77e-01      9.53e-04    9.33e-04      6.88e-02    6.82e-02    5.7e-06
1009000      1.77e-01    1.93e-01      6.74e-04    2.93e-04      6.83e-02    7.49e-02    5.7e-06
1010000      1.71e-01    8.29e-02      6.65e-04    8.49e-04      6.60e-02    3.21e-02    5.6e-06
1011000      1.79e-01    1.77e-01      1.38e-03    1.30e-03      6.86e-02    6.80e-02    5.6e-06
1012000      1.72e-01    1.71e-01      8.45e-04    1.22e-04      6.68e-02    6.69e-02    5.6e-06
1013000      1.80e-01    1.08e-01      9.75e-04    1.49e-03      6.97e-02    4.22e-02    5.5e-06
1014000      1.76e-01    1.23e-01      9.98e-04    1.72e-03      6.85e-02    4.81e-02    5.5e-06
1015000      1.79e-01    1.00e-01      1.29e-03    1.21e-03      6.93e-02    3.92e-02    5.5e-06
1016000      1.57e-01    9.12e-02      1.25e-03    1.48e-03      6.11e-02    3.58e-02    5.5e-06
1017000      1.79e-01    1.05e-01      1.05e-03    7.75e-04      7.01e-02    4.14e-02    5.4e-06
1018000      1.69e-01    1.71e-01      1.01e-03    8.33e-04      6.63e-02    6.72e-02    5.4e-06
1019000      1.53e-01    1.47e-01      1.10e-03    6.17e-04      6.00e-02    5.78e-02    5.4e-06
1020000      1.66e-01    1.12e-01      1.10e-03    2.87e-03      6.51e-02    4.36e-02    5.3e-06
1021000      1.69e-01    1.83e-01      1.24e-03    1.15e-03      6.67e-02    7.22e-02    5.3e-06
1022000      1.74e-01    2.05e-01      2.14e-03    1.49e-03      6.71e-02    8.04e-02    5.3e-06
1023000      1.66e-01    9.35e-02      1.15e-03    9.90e-04      6.56e-02    3.73e-02    5.3e-06
1024000      1.73e-01    7.41e-02      1.17e-03    8.73e-04      6.87e-02    2.96e-02    5.2e-06
1025000      1.73e-01    1.17e-01      2.19e-03    2.24e-03      6.65e-02    4.68e-02    5.2e-06
1026000      1.67e-01    1.45e-01      8.71e-04    1.37e-03      6.67e-02    5.81e-02    5.2e-06
1027000      1.65e-01    8.51e-02      1.60e-03    1.36e-03      6.50e-02    3.42e-02    5.2e-06
1028000      1.67e-01    1.10e-01      8.84e-04    1.09e-03      6.66e-02    4.43e-02    5.1e-06
1029000      1.66e-01    1.91e-01      7.75e-04    3.22e-03      6.68e-02    7.65e-02    5.1e-06
1030000      1.62e-01    1.89e-01      1.37e-03    2.02e-03      6.49e-02    7.64e-02    5.1e-06
1031000      1.41e-01    1.36e-01      1.17e-03    9.50e-04      5.71e-02    5.54e-02    5.1e-06
1032000      1.41e-01    1.68e-01      4.85e-04    1.36e-03      5.73e-02    6.71e-02    5.0e-06
1033000      1.67e-01    8.72e-02      9.48e-04    1.54e-03      6.76e-02    3.53e-02    5.0e-06
1034000      1.52e-01    1.60e-01      1.17e-03    5.40e-05      6.14e-02    6.54e-02    5.0e-06
1035000      1.52e-01    8.31e-02      7.21e-04    7.70e-04      6.19e-02    3.41e-02    5.0e-06
1036000      1.67e-01    1.73e-01      1.19e-03    4.82e-05      6.76e-02    7.12e-02    4.9e-06
1037000      1.65e-01    9.22e-02      1.04e-03    7.68e-04      6.70e-02    3.80e-02    4.9e-06
1038000      1.69e-01    9.18e-02      1.34e-03    1.06e-03      6.86e-02    3.78e-02    4.9e-06
1039000      1.64e-01    1.36e-01      9.96e-04    1.63e-03      6.72e-02    5.60e-02    4.9e-06
1040000      1.70e-01    1.47e-01      8.83e-04    5.52e-04      6.98e-02    6.06e-02    4.8e-06
1041000      1.69e-01    1.46e-01      2.68e-03    7.09e-04      6.58e-02    6.07e-02    4.8e-06
1042000      1.64e-01    1.06e-01      9.88e-04    5.41e-04      6.73e-02    4.41e-02    4.8e-06
1043000      1.60e-01    1.19e-01      1.60e-03    5.37e-04      6.57e-02    4.97e-02    4.8e-06
1044000      1.62e-01    1.50e-01      8.09e-04    3.14e-05      6.69e-02    6.25e-02    4.7e-06
1045000      1.61e-01    7.59e-02      9.32e-04    1.97e-04      6.66e-02    3.18e-02    4.7e-06
1046000      1.56e-01    1.60e-01      6.24e-04    1.30e-04      6.51e-02    6.70e-02    4.7e-06
1047000      1.58e-01    8.51e-02      1.62e-03    2.23e-03      6.47e-02    3.56e-02    4.7e-06
1048000      1.62e-01    1.59e-01      6.91e-04    3.22e-04      6.77e-02    6.68e-02    4.6e-06
1049000      1.51e-01    1.38e-01      8.36e-04    5.58e-04      6.34e-02    5.81e-02    4.6e-06
1050000      1.53e-01    9.97e-02      9.62e-04    9.74e-04      6.42e-02    4.22e-02    4.6e-06
1051000      1.54e-01    1.55e-01      1.13e-03    4.76e-04      6.39e-02    6.56e-02    4.6e-06
1052000      1.53e-01    1.56e-01      2.23e-03    4.14e-04      6.24e-02    6.62e-02    4.5e-06
1053000      1.54e-01    1.07e-01      1.26e-03    8.10e-04      6.45e-02    4.55e-02    4.5e-06
1054000      1.61e-01    1.28e-01      1.02e-03    2.14e-03      6.77e-02    5.46e-02    4.5e-06
1055000      1.47e-01    6.67e-02      4.97e-04    6.16e-04      6.27e-02    2.85e-02    4.5e-06
1056000      1.57e-01    7.61e-02      1.24e-03    3.07e-04      6.63e-02    3.26e-02    4.4e-06
1057000      1.52e-01    1.52e-01      9.43e-04    2.89e-04      6.45e-02    6.53e-02    4.4e-06
1058000      1.52e-01    1.59e-01      1.09e-03    1.07e-03      6.49e-02    6.74e-02    4.4e-06
1059000      1.59e-01    1.72e-01      1.64e-03    1.48e-03      6.67e-02    7.27e-02    4.4e-06
1060000      1.51e-01    6.87e-02      1.34e-03    2.09e-03      6.44e-02    2.90e-02    4.4e-06
1061000      1.53e-01    8.10e-02      7.17e-04    2.28e-03      6.58e-02    3.48e-02    4.3e-06
1062000      1.48e-01    1.16e-01      6.43e-04    1.13e-03      6.41e-02    5.04e-02    4.3e-06
1063000      1.62e-01    8.01e-02      1.31e-03    3.52e-04      6.88e-02    3.48e-02    4.3e-06
1064000      1.53e-01    1.03e-01      1.11e-03    4.48e-04      6.60e-02    4.47e-02    4.3e-06
1065000      1.56e-01    9.23e-02      8.10e-04    1.99e-03      6.76e-02    4.02e-02    4.2e-06
1066000      1.37e-01    8.65e-02      1.26e-03    5.20e-05      5.80e-02    3.79e-02    4.2e-06
1067000      1.58e-01    1.27e-01      1.20e-03    6.77e-04      6.83e-02    5.58e-02    4.2e-06
1068000      1.52e-01    1.27e-01      8.86e-04    1.43e-03      6.61e-02    5.57e-02    4.2e-06
1069000      1.58e-01    1.64e-01      8.02e-04    1.70e-03      6.88e-02    7.01e-02    4.2e-06
1070000      1.64e-01    1.65e-01      1.18e-03    1.27e-03      7.16e-02    7.19e-02    4.1e-06
1071000      1.54e-01    1.16e-01      1.35e-03    1.16e-03      6.67e-02    5.11e-02    4.1e-06
1072000      1.48e-01    1.54e-01      1.19e-03    1.82e-04      6.40e-02    6.81e-02    4.1e-06
1073000      1.49e-01    1.48e-01      7.54e-04    1.18e-03      6.59e-02    6.45e-02    4.1e-06
1074000      1.49e-01    1.12e-01      1.31e-03    2.69e-03      6.47e-02    4.96e-02    4.1e-06
1075000      1.46e-01    1.59e-01      7.68e-04    1.30e-03      6.44e-02    6.95e-02    4.0e-06
1076000      1.40e-01    9.22e-02      1.62e-03    3.02e-03      6.11e-02    4.01e-02    4.0e-06
1077000      1.60e-01    1.65e-01      2.12e-03    9.30e-04      6.72e-02    7.33e-02    4.0e-06
1078000      1.75e-01    2.95e-01      6.53e-03    2.50e-02      6.24e-02    7.84e-02    4.0e-06
1079000      1.71e-01    1.24e-01      3.64e-03    2.74e-03      6.81e-02    5.49e-02    4.0e-06
1080000      1.75e-01    1.46e-01      4.72e-03    7.80e-04      6.64e-02    6.54e-02    3.9e-06
1081000      1.71e-01    9.31e-02      4.48e-03    2.97e-03      6.63e-02    4.17e-02    3.9e-06
1082000      1.81e-01    1.49e-01      5.58e-03    2.56e-04      6.75e-02    6.74e-02    3.9e-06
1083000      1.75e-01    1.49e-01      4.59e-03    2.12e-05      6.69e-02    6.77e-02    3.9e-06
1084000      1.58e-01    1.38e-01      2.39e-03    5.88e-03      6.70e-02    5.75e-02    3.9e-06
1085000      1.82e-01    7.54e-02      6.11e-03    1.83e-03      6.66e-02    3.42e-02    3.8e-06
1086000      1.57e-01    1.05e-01      2.63e-03    2.96e-03      6.47e-02    4.78e-02    3.8e-06
1087000      1.64e-01    9.76e-02      2.17e-03    1.34e-03      6.96e-02    4.45e-02    3.8e-06
1088000      2.36e-01    1.07e-01      1.23e-02    2.80e-03      6.64e-02    4.85e-02    3.8e-06
1089000      1.56e-01    1.03e-01      1.00e-03    1.94e-03      7.04e-02    4.67e-02    3.8e-06
1090000      1.86e-01    2.78e-01      6.28e-03    2.20e-03      6.48e-02    1.28e-01    3.7e-06
1091000      1.62e-01    9.95e-02      2.36e-03    2.26e-03      6.82e-02    4.57e-02    3.7e-06
1092000      1.49e-01    1.62e-01      1.10e-03    3.48e-03      6.79e-02    6.47e-02    3.7e-06
1093000      1.70e-01    9.02e-02      5.45e-03    1.25e-03      6.19e-02    4.15e-02    3.7e-06
1094000      1.53e-01    1.47e-01      1.15e-03    1.32e-03      6.97e-02    6.65e-02    3.7e-06
1095000      3.13e-01    1.51e-01      2.13e-02    7.04e-04      6.98e-02    7.00e-02    3.6e-06
1096000      1.52e-01    8.59e-02      1.46e-03    1.18e-03      6.85e-02    3.99e-02    3.6e-06
1097000      1.43e-01    7.27e-02      2.27e-03    6.41e-04      6.14e-02    3.39e-02    3.6e-06
1098000      1.63e-01    1.62e-01      3.37e-03    2.39e-03      6.73e-02    7.11e-02    3.6e-06
1099000      1.65e-01    8.37e-02      3.86e-03    4.34e-03      6.66e-02    3.84e-02    3.6e-06
1100000      1.46e-01    1.45e-01      1.84e-03    8.82e-04      6.53e-02    6.73e-02    3.5e-06
1101000      1.63e-01    1.42e-01      3.68e-03    3.94e-03      6.58e-02    6.57e-02    3.5e-06
1102000      1.82e-01    1.52e-01      6.13e-03    1.67e-03      6.68e-02    6.92e-02    3.5e-06
1103000      1.56e-01    1.46e-01      3.64e-03    1.22e-03      6.32e-02    6.77e-02    3.5e-06
1104000      1.65e-01    6.89e-02      3.55e-03    9.97e-04      6.82e-02    3.25e-02    3.5e-06
1105000      1.36e-01    1.35e-01      7.22e-04    8.11e-04      6.40e-02    6.31e-02    3.5e-06
1106000      1.63e-01    1.47e-01      5.44e-03    9.46e-04      5.98e-02    6.89e-02    3.4e-06
1107000      1.82e-01    8.91e-02      6.77e-03    2.22e-03      6.60e-02    4.22e-02    3.4e-06
1108000      1.57e-01    1.48e-01      1.81e-03    2.51e-04      7.19e-02    7.07e-02    3.4e-06
1109000      1.70e-01    1.44e-01      4.29e-03    1.11e-03      6.84e-02    6.79e-02    3.4e-06
1110000      1.93e-01    1.52e-01      8.00e-03    1.23e-03      6.52e-02    7.14e-02    3.4e-06
1111000      1.61e-01    1.44e-01      4.02e-03    1.10e-03      6.72e-02    6.78e-02    3.4e-06
1112000      1.53e-01    6.04e-02      3.02e-03    3.29e-03      6.75e-02    2.83e-02    3.3e-06
1113000      1.58e-01    1.36e-01      3.49e-03    7.88e-04      6.83e-02    6.49e-02    3.3e-06
1114000      1.57e-01    1.31e-01      3.00e-03    6.92e-03      6.84e-02    5.48e-02    3.3e-06
1115000      1.55e-01    9.11e-02      3.34e-03    2.51e-03      6.78e-02    4.32e-02    3.3e-06
1116000      1.47e-01    1.15e-01      2.97e-03    2.06e-03      6.57e-02    5.51e-02    3.3e-06
1117000      1.39e-01    1.42e-01      8.86e-04    1.07e-03      6.65e-02    6.81e-02    3.3e-06
1118000      1.45e-01    9.14e-02      2.13e-03    1.42e-03      6.71e-02    4.44e-02    3.2e-06
1119000      1.35e-01    1.42e-01      1.63e-03    1.37e-03      6.37e-02    6.74e-02    3.2e-06
1120000      1.45e-01    1.39e-01      2.06e-03    2.09e-04      6.68e-02    6.78e-02    3.2e-06
1121000      1.50e-01    9.72e-02      1.27e-03    7.56e-04      7.19e-02    4.74e-02    3.2e-06
1122000      1.49e-01    1.32e-01      1.64e-03    5.51e-04      6.97e-02    6.45e-02    3.2e-06
1123000      1.53e-01    1.39e-01      2.65e-03    1.28e-04      6.88e-02    6.83e-02    3.2e-06
1124000      1.35e-01    7.52e-02      1.60e-03    4.31e-04      6.34e-02    3.70e-02    3.1e-06
1125000      1.47e-01    6.46e-02      2.46e-03    8.86e-04      6.73e-02    3.18e-02    3.1e-06
1126000      1.45e-01    1.43e-01      1.59e-03    1.47e-03      6.91e-02    6.86e-02    3.1e-06
1127000      1.46e-01    1.09e-01      2.11e-03    2.83e-04      6.93e-02    5.38e-02    3.1e-06
1128000      1.35e-01    1.40e-01      1.65e-03    5.34e-04      6.36e-02    6.91e-02    3.1e-06
1129000      1.48e-01    7.85e-02      2.51e-03    1.52e-03      6.67e-02    3.86e-02    3.1e-06
1130000      1.47e-01    1.37e-01      3.35e-03    4.35e-04      6.63e-02    6.80e-02    3.0e-06
1131000      1.47e-01    7.82e-02      3.65e-03    6.55e-04      6.51e-02    3.90e-02    3.0e-06
1132000      1.46e-01    7.75e-02      2.14e-03    3.25e-03      6.82e-02    3.82e-02    3.0e-06
1133000      1.37e-01    6.83e-02      1.57e-03    4.58e-04      6.50e-02    3.42e-02    3.0e-06
1134000      1.43e-01    5.93e-02      2.39e-03    6.63e-04      6.68e-02    2.97e-02    3.0e-06
1135000      1.41e-01    9.90e-02      2.73e-03    7.52e-04      6.55e-02    4.97e-02    3.0e-06
1136000      1.44e-01    6.37e-02      2.57e-03    1.49e-03      6.65e-02    3.19e-02    2.9e-06
1137000      1.54e-01    7.04e-02      3.21e-03    2.86e-03      7.01e-02    3.41e-02    2.9e-06
1138000      1.37e-01    1.40e-01      2.10e-03    1.66e-04      6.58e-02    7.08e-02    2.9e-06
1139000      1.37e-01    1.49e-01      1.79e-03    7.92e-04      6.53e-02    7.48e-02    2.9e-06
1140000      1.45e-01    1.26e-01      2.67e-03    9.43e-04      6.76e-02    6.30e-02    2.9e-06
1141000      1.39e-01    1.41e-01      1.73e-03    2.81e-04      6.71e-02    7.18e-02    2.9e-06
1142000      1.46e-01    6.60e-02      3.15e-03    7.94e-04      6.62e-02    3.35e-02    2.9e-06
1143000      1.39e-01    1.30e-01      1.57e-03    1.59e-03      6.88e-02    6.35e-02    2.8e-06
1144000      1.44e-01    1.50e-01      1.73e-03    5.51e-04      7.06e-02    7.66e-02    2.8e-06
1145000      1.35e-01    1.39e-01      1.35e-03    1.97e-03      6.67e-02    6.71e-02    2.8e-06
1146000      1.33e-01    1.36e-01      1.12e-03    4.64e-04      6.69e-02    6.96e-02    2.8e-06
1147000      1.30e-01    1.29e-01      1.65e-03    3.55e-04      6.36e-02    6.61e-02    2.8e-06
1148000      1.31e-01    1.42e-01      1.97e-03    1.54e-03      6.40e-02    7.09e-02    2.8e-06
1149000      1.36e-01    7.64e-02      2.01e-03    9.50e-04      6.61e-02    3.93e-02    2.8e-06
1150000      1.30e-01    1.29e-01      1.93e-03    3.84e-04      6.35e-02    6.63e-02    2.7e-06
1151000      1.27e-01    5.34e-02      1.52e-03    1.10e-03      6.33e-02    2.76e-02    2.7e-06
1152000      1.36e-01    3.61e-01      1.58e-03    3.42e-02      6.74e-02    8.31e-02    2.7e-06
1153000      1.28e-01    7.22e-02      2.17e-03    3.62e-04      6.39e-02    3.75e-02    2.7e-06
1154000      1.41e-01    1.25e-01      2.12e-03    1.25e-03      7.04e-02    6.47e-02    2.7e-06
1155000      1.27e-01    1.35e-01      2.03e-03    1.60e-03      6.14e-02    6.77e-02    2.7e-06
1156000      1.25e-01    1.28e-01      2.71e-03    1.71e-03      6.27e-02    6.36e-02    2.7e-06
1157000      1.39e-01    9.09e-02      1.68e-03    1.18e-03      7.00e-02    4.72e-02    2.6e-06
1158000      1.41e-01    7.29e-02      1.72e-03    4.22e-04      7.04e-02    3.82e-02    2.6e-06
1159000      1.30e-01    1.33e-01      1.50e-03    1.50e-03      6.52e-02    6.72e-02    2.6e-06
1160000      1.30e-01    6.19e-02      1.23e-03    8.12e-04      6.68e-02    3.25e-02    2.6e-06
1161000      1.29e-01    7.27e-02      1.41e-03    9.78e-04      6.59e-02    3.82e-02    2.6e-06
1162000      1.18e-01    1.31e-01      2.00e-03    9.58e-04      5.80e-02    6.83e-02    2.6e-06
1163000      1.40e-01    1.29e-01      2.24e-03    1.25e-03      6.85e-02    6.66e-02    2.6e-06
1164000      1.32e-01    1.33e-01      1.63e-03    5.26e-05      6.77e-02    7.07e-02    2.6e-06
1165000      1.27e-01    1.20e-01      1.10e-03    1.58e-04      6.59e-02    6.40e-02    2.5e-06
1166000      1.36e-01    5.70e-02      1.53e-03    1.78e-03      6.92e-02    3.01e-02    2.5e-06
1167000      1.26e-01    1.29e-01      1.43e-03    8.66e-04      6.50e-02    6.81e-02    2.5e-06
1168000      1.29e-01    1.08e-01      2.11e-03    7.43e-04      6.48e-02    5.75e-02    2.5e-06
1169000      1.28e-01    6.58e-02      1.99e-03    2.50e-04      6.50e-02    3.52e-02    2.5e-06
1170000      1.44e-01    7.78e-02      2.48e-03    2.80e-03      7.02e-02    4.13e-02    2.5e-06
1171000      1.32e-01    1.05e-01      1.12e-03    1.77e-04      6.89e-02    5.62e-02    2.5e-06
1172000      1.26e-01    7.92e-02      1.50e-03    1.47e-03      6.58e-02    4.23e-02    2.5e-06
1173000      1.27e-01    1.04e-01      1.80e-03    2.28e-04      6.58e-02    5.61e-02    2.4e-06
1174000      1.23e-01    1.31e-01      1.91e-03    1.18e-03      6.39e-02    6.91e-02    2.4e-06
1175000      1.26e-01    1.30e-01      1.29e-03    9.30e-04      6.66e-02    6.93e-02    2.4e-06
1176000      1.30e-01    1.36e-01      1.48e-03    1.21e-03      6.73e-02    7.23e-02    2.4e-06
1177000      1.23e-01    5.38e-02      1.43e-03    1.27e-03      6.51e-02    2.91e-02    2.4e-06
1178000      1.18e-01    1.14e-01      7.15e-04    1.85e-04      6.39e-02    6.21e-02    2.4e-06
1179000      1.28e-01    7.98e-02      1.44e-03    3.41e-03      6.73e-02    4.28e-02    2.4e-06
1180000      1.24e-01    6.32e-02      9.82e-04    2.73e-03      6.60e-02    3.40e-02    2.4e-06
1181000      1.26e-01    1.14e-01      1.40e-03    1.86e-03      6.69e-02    6.16e-02    2.3e-06
1182000      1.28e-01    1.26e-01      1.65e-03    5.32e-04      6.67e-02    6.86e-02    2.3e-06
1183000      1.32e-01    5.65e-02      1.81e-03    9.29e-04      6.98e-02    3.08e-02    2.3e-06
1184000      1.13e-01    1.30e-01      9.99e-04    1.31e-03      6.17e-02    6.98e-02    2.3e-06
1185000      1.16e-01    8.34e-02      1.17e-03    8.25e-04      6.25e-02    4.59e-02    2.3e-06
1186000      1.23e-01    9.35e-02      1.13e-03    2.13e-03      6.70e-02    5.10e-02    2.3e-06
1187000      1.17e-01    9.59e-02      1.06e-03    2.19e-03      6.30e-02    5.18e-02    2.3e-06
1188000      1.27e-01    1.26e-01      1.68e-03    1.37e-03      6.80e-02    6.74e-02    2.3e-06
1189000      1.34e-01    6.69e-02      1.86e-03    5.76e-05      6.98e-02    3.71e-02    2.2e-06
1190000      1.34e-01    7.16e-02      2.29e-03    1.31e-03      6.87e-02    3.95e-02    2.2e-06
1191000      1.16e-01    1.18e-01      8.63e-04    1.96e-04      6.37e-02    6.56e-02    2.2e-06
1192000      1.26e-01    5.96e-02      1.44e-03    1.02e-03      6.76e-02    3.30e-02    2.2e-06
1193000      1.26e-01    6.35e-02      1.74e-03    1.25e-03      6.59e-02    3.54e-02    2.2e-06
1194000      1.27e-01    1.39e-01      1.26e-03    4.23e-03      6.97e-02    7.44e-02    2.2e-06
1195000      1.24e-01    1.17e-01      1.01e-03    9.05e-04      6.86e-02    6.43e-02    2.2e-06
1196000      1.27e-01    1.20e-01      7.53e-04    2.46e-03      6.99e-02    6.60e-02    2.2e-06
1197000      1.23e-01    6.57e-02      1.13e-03    4.33e-04      6.68e-02    3.70e-02    2.2e-06
1198000      1.29e-01    1.20e-01      1.77e-03    1.02e-03      6.88e-02    6.64e-02    2.1e-06
1199000      1.20e-01    1.11e-01      6.03e-04    7.10e-04      6.72e-02    6.28e-02    2.1e-06
1200000      1.25e-01    1.05e-01      1.74e-03    2.38e-04      6.67e-02    5.93e-02    2.1e-06
1201000      1.21e-01    7.96e-02      2.20e-03    3.43e-03      6.41e-02    4.44e-02    2.1e-06
1202000      1.21e-01    7.62e-02      1.40e-03    1.65e-03      6.60e-02    4.28e-02    2.1e-06
1203000      1.22e-01    1.06e-01      9.52e-04    5.82e-04      6.80e-02    6.02e-02    2.1e-06
1204000      1.22e-01    1.13e-01      1.48e-03    5.89e-04      6.73e-02    6.38e-02    2.1e-06
1205000      1.24e-01    1.15e-01      1.17e-03    9.58e-04      6.88e-02    6.44e-02    2.1e-06
1206000      1.27e-01    1.19e-01      6.74e-04    5.51e-04      7.23e-02    6.78e-02    2.1e-06
1207000      1.23e-01    1.13e-01      1.25e-03    1.47e-03      6.86e-02    6.41e-02    2.0e-06
1208000      1.10e-01    8.28e-02      1.26e-03    1.41e-03      6.10e-02    4.69e-02    2.0e-06
1209000      1.24e-01    7.92e-02      1.37e-03    6.53e-05      6.84e-02    4.55e-02    2.0e-06
1210000      1.31e-01    1.24e-01      1.72e-03    1.73e-03      7.15e-02    6.74e-02    2.0e-06
1211000      1.22e-01    1.26e-01      1.43e-03    2.78e-04      6.75e-02    7.26e-02    2.0e-06
1212000      1.15e-01    1.26e-01      2.24e-03    1.15e-03      6.11e-02    7.16e-02    2.0e-06
1213000      1.14e-01    1.14e-01      1.28e-03    2.23e-03      6.41e-02    6.47e-02    2.0e-06
1214000      1.13e-01    1.32e-01      1.56e-03    4.37e-05      6.25e-02    7.65e-02    2.0e-06
1215000      1.22e-01    1.19e-01      1.20e-03    5.36e-04      6.86e-02    6.90e-02    2.0e-06
1216000      1.15e-01    6.55e-02      1.58e-03    5.94e-04      6.49e-02    3.81e-02    2.0e-06
1217000      1.21e-01    1.19e-01      1.53e-03    1.21e-03      6.87e-02    6.76e-02    1.9e-06
1218000      1.15e-01    9.75e-02      1.49e-03    2.57e-04      6.52e-02    5.69e-02    1.9e-06
1219000      1.36e-01    6.05e-02      4.13e-03    6.50e-04      7.02e-02    3.53e-02    1.9e-06
1220000      1.23e-01    6.14e-02      1.79e-03    1.19e-03      6.69e-02    3.57e-02    1.9e-06
1221000      1.24e-01    1.21e-01      2.06e-03    3.79e-04      6.76e-02    7.11e-02    1.9e-06
1222000      1.14e-01    1.18e-01      1.19e-03    1.03e-03      6.56e-02    6.82e-02    1.9e-06
1223000      1.19e-01    9.57e-02      1.83e-03    6.01e-04      6.39e-02    5.62e-02    1.9e-06
1224000      1.14e-01    7.89e-02      1.56e-03    1.73e-03      6.42e-02    4.60e-02    1.9e-06
1225000      1.11e-01    5.55e-02      5.01e-04    1.41e-03      6.53e-02    3.23e-02    1.9e-06
1226000      1.21e-01    8.17e-02      1.28e-03    8.99e-04      6.87e-02    4.81e-02    1.9e-06
1227000      1.14e-01    1.20e-01      1.37e-03    8.30e-04      6.39e-02    7.01e-02    1.8e-06
1228000      1.23e-01    1.05e-01      1.02e-03    1.81e-04      7.13e-02    6.25e-02    1.8e-06
1229000      1.11e-01    8.84e-02      1.34e-03    1.27e-03      6.37e-02    5.23e-02    1.8e-06
1230000      9.99e-02    1.19e-01      1.34e-03    5.47e-04      5.86e-02    7.02e-02    1.8e-06
1231000      1.10e-01    5.94e-02      8.81e-04    8.74e-04      6.42e-02    3.53e-02    1.8e-06
1232000      1.17e-01    7.62e-02      1.14e-03    3.20e-04      6.81e-02    4.55e-02    1.8e-06
1233000      1.13e-01    6.71e-02      9.05e-04    1.57e-05      6.63e-02    4.02e-02    1.8e-06
1234000      1.14e-01    6.28e-02      9.31e-04    2.34e-03      6.68e-02    3.73e-02    1.8e-06
1235000      1.10e-01    5.50e-02      1.33e-03    1.42e-04      6.35e-02    3.30e-02    1.8e-06
1236000      1.16e-01    8.23e-02      1.19e-03    1.80e-03      6.74e-02    4.84e-02    1.8e-06
1237000      1.19e-01    7.30e-02      9.88e-04    1.33e-03      7.05e-02    4.38e-02    1.8e-06
1238000      1.10e-01    8.59e-02      1.24e-03    1.44e-03      6.27e-02    5.15e-02    1.7e-06
1239000      1.14e-01    1.22e-01      1.42e-03    8.09e-04      6.51e-02    7.28e-02    1.7e-06
1240000      1.13e-01    1.10e-01      9.15e-04    2.35e-03      6.67e-02    6.52e-02    1.7e-06
1241000      1.08e-01    8.33e-02      8.04e-04    1.59e-04      6.38e-02    5.05e-02    1.7e-06
1242000      1.20e-01    4.69e-02      1.71e-03    8.97e-04      6.84e-02    2.84e-02    1.7e-06
1243000      1.22e-01    1.15e-01      1.51e-03    1.49e-03      7.07e-02    6.92e-02    1.7e-06
1244000      1.16e-01    1.31e-01      1.18e-03    2.74e-03      6.87e-02    6.97e-02    1.7e-06
1245000      1.20e-01    8.08e-02      1.70e-03    7.94e-04      6.96e-02    4.91e-02    1.7e-06
1246000      1.09e-01    6.04e-02      6.06e-04    1.00e-03      6.63e-02    3.67e-02    1.7e-06
1247000      1.17e-01    6.31e-02      1.20e-03    2.26e-04      6.87e-02    3.86e-02    1.7e-06
1248000      1.06e-01    7.01e-02      1.06e-03    6.16e-04      6.33e-02    4.29e-02    1.7e-06
1249000      1.08e-01    1.07e-01      1.31e-03    1.18e-04      6.38e-02    6.55e-02    1.7e-06
1250000      1.09e-01    1.07e-01      1.04e-03    5.56e-04      6.54e-02    6.56e-02    1.6e-06
1251000      1.05e-01    6.40e-02      1.54e-03    5.35e-04      6.21e-02    3.93e-02    1.6e-06
1252000      1.10e-01    1.06e-01      9.31e-04    9.31e-04      6.57e-02    6.55e-02    1.6e-06
