#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  77000      2.78e+00    1.90e+00      1.10e-02    1.20e-02      1.07e-01    7.32e-02    6.7e-04
  78000      3.34e+00    1.77e+00      5.29e-02    5.60e-02      1.26e-01    6.79e-02    6.7e-04
  79000      3.24e+00    3.16e+00      3.02e-02    3.37e-02      1.25e-01    1.21e-01    6.7e-04
  80000      4.60e+00    3.05e+00      4.15e-02    5.73e-02      1.74e-01    1.18e-01    6.6e-04
  81000      3.18e+00    2.00e+00      1.03e-01    1.51e-01      1.11e-01    7.42e-02    6.6e-04
  82000      3.33e+00    1.55e+00      3.16e-02    1.63e-02      1.29e-01    6.05e-02    6.6e-04
  83000      2.69e+00    2.49e+00      1.56e-03    2.24e-03      1.05e-01    9.75e-02    6.5e-04
  84000      3.98e+00    2.12e+00      2.36e-01    3.34e-01      1.14e-01    6.28e-02    6.5e-04
  85000      3.52e+00    1.68e+00      3.24e-02    3.32e-02      1.38e-01    6.61e-02    6.5e-04
  86000      3.33e+00    2.17e+00      3.60e-02    2.92e-02      1.30e-01    8.54e-02    6.4e-04
  87000      4.50e+00    2.18e+00      4.48e-03    5.69e-03      1.78e-01    8.61e-02    6.4e-04
  88000      2.97e+00    3.12e+00      6.91e-03    2.07e-03      1.17e-01    1.24e-01    6.4e-04
  89000      2.71e+00    2.54e+00      2.25e-02    2.36e-02      1.07e-01    9.99e-02    6.3e-04
  90000      2.96e+00    2.62e+00      5.01e-02    4.28e-02      1.15e-01    1.01e-01    6.3e-04
  91000      3.08e+00    1.88e+00      5.46e-02    3.11e-03      1.14e-01    7.50e-02    6.3e-04
  92000      2.80e+00    3.64e+00      2.06e-02    3.66e-03      1.11e-01    1.46e-01    6.2e-04
  93000      3.02e+00    2.23e+00      1.27e-02    1.33e-03      1.21e-01    8.93e-02    6.2e-04
  94000      3.52e+00    2.73e+00      7.79e-02    3.03e-02      1.33e-01    1.10e-01    6.2e-04
  95000      3.30e+00    2.58e+00      3.49e-02    2.60e-02      1.32e-01    1.03e-01    6.1e-04
  96000      3.85e+00    3.33e+00      1.74e-01    3.59e-01      1.24e-01    1.02e-01    6.1e-04
  97000      3.64e+00    3.60e+00      5.71e-03    9.12e-03      1.48e-01    1.46e-01    6.1e-04
  98000      3.44e+00    1.95e+00      8.04e-02    4.96e-02      1.32e-01    7.90e-02    6.0e-04
  99000      2.77e+00    2.74e+00      1.12e-02    1.35e-02      1.13e-01    1.11e-01    6.0e-04
 100000      3.21e+00    1.92e+00      1.27e-01    8.79e-02      1.10e-01    7.79e-02    6.0e-04
 101000      2.33e+00    1.96e+00      8.31e-03    9.88e-03      9.55e-02    8.04e-02    6.0e-04
 102000      2.86e+00    1.51e+00      4.99e-02    2.11e-02      1.14e-01    6.18e-02    5.9e-04
 103000      2.49e+00    1.73e+00      1.50e-02    6.62e-03      1.01e-01    7.14e-02    5.9e-04
 104000      2.49e+00    2.52e+00      4.09e-02    3.03e-02      1.01e-01    1.02e-01    5.9e-04
 105000      3.11e+00    2.46e+00      2.48e-02    2.33e-03      1.27e-01    1.02e-01    5.8e-04
 106000      2.59e+00    1.68e+00      4.48e-03    2.01e-03      1.08e-01    6.99e-02    5.8e-04
 107000      2.51e+00    1.47e+00      8.73e-03    6.86e-03      1.04e-01    6.13e-02    5.8e-04
 108000      2.93e+00    2.70e+00      1.33e-02    1.43e-02      1.22e-01    1.12e-01    5.7e-04
 109000      2.60e+00    2.57e+00      4.31e-02    4.82e-02      1.07e-01    1.07e-01    5.7e-04
 110000      3.34e+00    3.15e+00      1.77e-02    1.39e-02      1.39e-01    1.32e-01    5.7e-04
 111000      3.25e+00    2.06e+00      3.49e-02    2.36e-02      1.35e-01    8.65e-02    5.7e-04
 112000      7.66e+00    2.46e+00      5.47e-01    2.33e-01      1.12e-01    8.12e-02    5.6e-04
 113000      2.98e+00    2.66e+00      1.73e-02    6.91e-03      1.25e-01    1.12e-01    5.6e-04
 114000      2.52e+00    2.29e+00      6.87e-03    1.46e-01      1.07e-01    8.83e-02    5.6e-04
 115000      2.57e+00    1.55e+00      2.89e-02    2.89e-02      1.07e-01    6.57e-02    5.5e-04
 116000      2.54e+00    2.36e+00      7.88e-03    5.17e-03      1.08e-01    1.01e-01    5.5e-04
 117000      2.44e+00    2.38e+00      1.55e-02    2.10e-02      1.04e-01    1.01e-01    5.5e-04
 118000      4.68e+00    2.07e+00      1.70e-01    2.00e-01      1.75e-01    8.54e-02    5.5e-04
 119000      2.55e+00    1.64e+00      9.89e-03    3.88e-03      1.09e-01    7.02e-02    5.4e-04
 120000      2.46e+00    1.05e+00      3.72e-02    1.18e-04      9.91e-02    4.51e-02    5.4e-04
 121000      3.00e+00    4.72e+00      4.72e-02    2.63e-02      1.26e-01    2.03e-01    5.4e-04
 122000      2.62e+00    2.09e+00      2.93e-02    2.78e-02      1.12e-01    8.83e-02    5.3e-04
 123000      5.32e+00    3.50e+00      3.41e-02    2.72e-02      2.30e-01    1.51e-01    5.3e-04
 124000      3.67e+00    1.71e+00      1.41e-01    1.25e-01      1.33e-01    6.96e-02    5.3e-04
 125000      2.21e+00    2.17e+00      2.20e-02    2.84e-02      9.59e-02    9.25e-02    5.3e-04
 126000      2.82e+00    1.38e+00      5.14e-02    9.33e-03      1.17e-01    6.01e-02    5.2e-04
 127000      2.19e+00    2.02e+00      9.93e-03    4.46e-03      9.58e-02    8.83e-02    5.2e-04
 128000      2.44e+00    1.72e+00      5.68e-02    8.24e-02      1.01e-01    7.49e-02    5.2e-04
 129000      2.10e+00    2.07e+00      2.77e-03    5.29e-03      9.25e-02    9.11e-02    5.2e-04
 130000      2.38e+00    2.34e+00      4.57e-02    3.61e-02      1.02e-01    9.97e-02    5.1e-04
 131000      2.35e+00    2.33e+00      6.23e-02    7.38e-03      9.66e-02    1.03e-01    5.1e-04
 132000      2.89e+00    2.18e+00      9.17e-02    1.58e-01      1.19e-01    9.45e-02    5.1e-04
 133000      3.09e+00    3.02e+00      5.84e-02    5.36e-02      1.32e-01    1.28e-01    5.1e-04
 134000      1.96e+00    2.14e+00      2.69e-02    1.01e-02      8.67e-02    9.53e-02    5.0e-04
 135000      3.11e+00    1.09e+00      1.89e-02    5.94e-04      1.38e-01    4.85e-02    5.0e-04
 136000      2.82e+00    2.32e+00      1.25e-02    1.47e-02      1.26e-01    1.04e-01    5.0e-04
 137000      2.35e+00    2.12e+00      4.11e-03    4.10e-05      1.06e-01    9.54e-02    5.0e-04
 138000      2.39e+00    1.53e+00      4.72e-02    8.23e-02      1.03e-01    6.82e-02    4.9e-04
 139000      2.16e+00    1.98e+00      7.60e-03    5.10e-03      9.73e-02    8.91e-02    4.9e-04
 140000      1.99e+00    1.45e+00      5.35e-03    5.11e-04      9.01e-02    6.58e-02    4.9e-04
 141000      2.19e+00    1.38e+00      1.64e-02    7.39e-03      9.70e-02    6.26e-02    4.9e-04
 142000      2.17e+00    3.01e+00      2.39e-02    1.04e-01      9.79e-02    1.33e-01    4.8e-04
 143000      3.20e+00    3.25e+00      7.05e-02    6.59e-02      1.39e-01    1.39e-01    4.8e-04
 144000      2.72e+00    1.48e+00      4.29e-02    5.53e-03      1.16e-01    6.76e-02    4.8e-04
 145000      2.00e+00    8.73e+00      3.27e-02    8.24e-02      8.46e-02    3.99e-01    4.8e-04
 146000      2.31e+00    1.83e+00      1.75e-02    2.28e-03      1.04e-01    8.42e-02    4.7e-04
 147000      2.15e+00    1.94e+00      2.75e-03    4.70e-04      9.88e-02    8.92e-02    4.7e-04
 148000      2.27e+00    2.20e+00      7.87e-03    5.24e-03      1.05e-01    1.01e-01    4.7e-04
 149000      2.21e+00    1.31e+00      1.06e-02    8.76e-03      1.02e-01    6.05e-02    4.7e-04
 150000      2.17e+00    1.95e+00      7.44e-03    2.14e-03      1.00e-01    9.07e-02    4.6e-04
 151000      2.08e+00    2.30e+00      2.40e-02    8.79e-02      9.59e-02    1.03e-01    4.6e-04
 152000      1.93e+00    7.81e-01      6.30e-03    2.20e-02      8.98e-02    3.63e-02    4.6e-04
 153000      3.17e+00    1.68e+00      1.25e-01    1.46e-01      1.13e-01    7.04e-02    4.6e-04
 154000      2.36e+00    3.19e+00      1.05e-02    1.04e-02      1.11e-01    1.49e-01    4.5e-04
 155000      1.92e+00    2.09e+00      9.86e-03    8.57e-03      8.98e-02    9.85e-02    4.5e-04
 156000      2.24e+00    1.99e+00      1.76e-02    1.38e-02      1.05e-01    9.29e-02    4.5e-04
 157000      1.90e+00    2.06e+00      3.03e-03    5.04e-03      9.00e-02    9.73e-02    4.5e-04
 158000      2.32e+00    2.06e+00      5.41e-03    4.30e-03      1.10e-01    9.77e-02    4.4e-04
 159000      1.94e+00    1.78e+00      6.54e-03    4.14e-03      9.12e-02    8.44e-02    4.4e-04
 160000      1.97e+00    1.81e+00      1.42e-02    3.21e-03      9.32e-02    8.61e-02    4.4e-04
 161000      1.86e+00    8.35e-01      1.73e-02    1.63e-02      8.81e-02    3.98e-02    4.4e-04
 162000      1.97e+00    1.52e+00      5.69e-03    7.25e-03      9.40e-02    7.26e-02    4.4e-04
 163000      2.09e+00    2.00e+00      7.58e-03    7.00e-04      1.00e-01    9.60e-02    4.3e-04
 164000      2.04e+00    1.15e+00      1.06e-02    5.94e-03      9.69e-02    5.55e-02    4.3e-04
 165000      2.00e+00    1.66e+00      3.42e-03    3.64e-03      9.62e-02    8.01e-02    4.3e-04
 166000      1.88e+00    1.92e+00      6.25e-03    7.27e-03      9.06e-02    9.29e-02    4.3e-04
 167000      1.98e+00    1.50e+00      5.55e-03    4.90e-03      9.61e-02    7.25e-02    4.2e-04
 168000      2.16e+00    1.58e+00      6.17e-02    8.18e-02      9.86e-02    7.60e-02    4.2e-04
 169000      2.07e+00    1.98e+00      2.69e-02    1.45e-03      9.67e-02    9.64e-02    4.2e-04
 170000      2.06e+00    1.96e+00      5.25e-02    3.89e-02      9.08e-02    8.93e-02    4.2e-04
 171000      2.22e+00    1.98e+00      7.33e-03    1.23e-03      1.09e-01    9.72e-02    4.2e-04
 172000      1.83e+00    8.95e+00      1.44e-02    1.07e-01      8.93e-02    4.38e-01    4.1e-04
 173000      1.88e+00    1.42e+00      1.32e-02    2.88e-02      9.21e-02    7.00e-02    4.1e-04
 174000      1.94e+00    1.45e+00      1.23e-02    3.30e-03      9.56e-02    7.17e-02    4.1e-04
 175000      1.77e+00    9.47e-01      1.25e-02    2.02e-03      8.50e-02    4.69e-02    4.1e-04
 176000      1.75e+00    1.04e+00      7.61e-03    2.96e-02      8.68e-02    5.12e-02    4.1e-04
 177000      2.05e+00    1.76e+00      7.34e-03    1.69e-02      1.02e-01    8.73e-02    4.0e-04
 178000      1.88e+00    1.61e+00      4.60e-03    4.30e-03      9.39e-02    8.03e-02    4.0e-04
 179000      1.67e+00    1.09e+00      1.26e-02    1.42e-02      8.30e-02    5.46e-02    4.0e-04
 180000      1.86e+00    1.68e+00      1.36e-02    1.34e-02      9.24e-02    8.31e-02    4.0e-04
 181000      2.01e+00    1.87e+00      2.99e-02    1.98e-02      9.71e-02    9.20e-02    4.0e-04
 182000      1.69e+00    1.13e+00      1.13e-02    4.88e-03      8.48e-02    5.67e-02    3.9e-04
 183000      1.70e+00    1.77e+00      1.22e-02    1.50e-02      8.53e-02    8.85e-02    3.9e-04
 184000      2.08e+00    1.21e+00      7.72e-02    2.31e-03      8.27e-02    6.15e-02    3.9e-04
 185000      1.98e+00    1.61e+00      9.48e-03    3.87e-03      1.01e-01    8.18e-02    3.9e-04
 186000      1.92e+00    8.72e-01      7.88e-03    4.31e-03      9.78e-02    4.44e-02    3.9e-04
 187000      1.68e+00    1.05e+00      2.20e-03    1.72e-03      8.56e-02    5.38e-02    3.8e-04
 188000      1.88e+00    1.72e+00      2.10e-02    1.41e-02      9.48e-02    8.69e-02    3.8e-04
 189000      1.91e+00    1.76e+00      9.27e-03    4.98e-03      9.77e-02    9.03e-02    3.8e-04
 190000      2.06e+00    1.78e+00      4.28e-02    2.35e-02      1.01e-01    8.87e-02    3.8e-04
 191000      1.99e+00    1.05e+00      1.73e-02    1.06e-03      1.02e-01    5.39e-02    3.8e-04
 192000      1.89e+00    1.20e+00      3.74e-02    6.16e-02      9.21e-02    6.13e-02    3.7e-04
 193000      1.59e+00    1.68e+00      1.02e-02    3.56e-02      8.20e-02    8.57e-02    3.7e-04
 194000      1.72e+00    9.57e-01      2.80e-02    1.98e-02      8.53e-02    4.96e-02    3.7e-04
 195000      1.82e+00    1.77e+00      9.71e-03    3.38e-04      9.31e-02    9.21e-02    3.7e-04
 196000      1.76e+00    1.55e+00      5.81e-03    1.44e-03      9.17e-02    8.08e-02    3.7e-04
 197000      1.79e+00    9.99e-01      1.44e-02    8.41e-02      9.13e-02    5.04e-02    3.6e-04
 198000      2.00e+00    9.92e-01      6.94e-03    3.54e-03      1.05e-01    5.21e-02    3.6e-04
 199000      1.84e+00    1.61e+00      2.85e-02    3.36e-02      9.24e-02    8.39e-02    3.6e-04
 200000      1.78e+00    1.63e+00      1.09e-02    9.73e-03      9.35e-02    8.57e-02    3.6e-04
 201000      2.15e+00    9.71e-01      6.16e-02    3.71e-02      9.90e-02    5.02e-02    3.6e-04
 202000      1.83e+00    1.87e+00      1.78e-02    1.83e-02      9.57e-02    9.92e-02    3.5e-04
 203000      1.94e+00    7.32e-01      1.03e-02    1.27e-02      1.02e-01    3.88e-02    3.5e-04
 204000      1.99e+00    1.11e+00      3.26e-02    1.15e-02      1.02e-01    5.90e-02    3.5e-04
 205000      1.65e+00    1.10e+00      1.72e-02    2.89e-02      8.74e-02    5.81e-02    3.5e-04
 206000      1.69e+00    1.54e+00      1.70e-03    3.25e-04      9.08e-02    8.24e-02    3.5e-04
 207000      1.70e+00    1.57e+00      5.25e-03    7.35e-03      9.10e-02    8.40e-02    3.5e-04
 208000      1.77e+00    1.70e+00      1.07e-02    5.59e-03      9.47e-02    9.11e-02    3.4e-04
 209000      1.90e+00    1.66e+00      3.45e-02    3.04e-02      9.82e-02    8.40e-02    3.4e-04
 210000      1.69e+00    1.57e+00      1.50e-02    1.10e-02      9.01e-02    8.43e-02    3.4e-04
 211000      2.02e+00    9.81e-01      5.83e-02    3.06e-02      9.81e-02    5.24e-02    3.4e-04
 212000      1.90e+00    9.21e-01      9.90e-03    9.58e-03      1.03e-01    5.01e-02    3.4e-04
 213000      1.74e+00    1.69e+00      1.58e-02    1.05e-02      9.43e-02    9.18e-02    3.4e-04
 214000      1.98e+00    1.10e+00      6.40e-02    6.38e-02      9.31e-02    5.66e-02    3.3e-04
 215000      1.73e+00    1.55e+00      1.75e-02    1.96e-02      9.32e-02    8.26e-02    3.3e-04
 216000      1.66e+00    1.16e+00      1.85e-02    3.74e-02      8.77e-02    6.33e-02    3.3e-04
 217000      1.56e+00    7.93e-01      2.87e-02    4.80e-02      8.19e-02    4.10e-02    3.3e-04
 218000      1.67e+00    1.27e+00      4.86e-03    1.17e-03      9.21e-02    7.03e-02    3.3e-04
 219000      1.71e+00    8.36e-01      5.05e-03    7.68e-03      9.44e-02    4.62e-02    3.3e-04
 220000      1.51e+00    9.24e-01      1.03e-02    1.40e-02      8.35e-02    5.11e-02    3.2e-04
 221000      1.70e+00    1.27e+00      1.08e-02    6.36e-03      9.41e-02    7.06e-02    3.2e-04
 222000      1.56e+00    1.03e+00      1.55e-02    3.41e-03      8.30e-02    5.73e-02    3.2e-04
 223000      1.62e+00    1.45e+00      2.68e-02    6.37e-03      8.46e-02    8.09e-02    3.2e-04
